epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,15531.5,1.18154,0.39003,0.0013,0.9374,0.56227,0.75849,0.56835,1.43638,0.5444,0.00219,0.0013664,0.0013664,0.0013664
162,15629,1.18852,0.38526,0.00128,0.93608,0.56169,0.75824,0.553,1.49337,0.5592,0.00225,0.00136244,0.00136244,0.00136244
163,15724.4,1.26076,0.41201,0.00133,0.93732,0.57012,0.76389,0.56574,1.45498,0.532,0.0022,0.00135848,0.00135848,0.00135848
164,15819.6,1.20371,0.39793,0.0013,0.94115,0.56354,0.75992,0.56451,1.45322,0.54101,0.00222,0.00135452,0.00135452,0.00135452
165,15915.9,1.25633,0.4072,0.0013,0.9451,0.55291,0.75649,0.55692,1.48391,0.569,0.00226,0.00135056,0.00135056,0.00135056
166,16011.5,1.20959,0.39727,0.00128,0.95068,0.54332,0.75342,0.56352,1.46177,0.55666,0.00224,0.0013466,0.0013466,0.0013466
167,16108.3,1.17839,0.38759,0.00128,0.93545,0.56423,0.76015,0.56687,1.45105,0.52758,0.00221,0.00134264,0.00134264,0.00134264
168,16203.2,1.21132,0.39616,0.00132,0.93145,0.56666,0.75944,0.56255,1.47166,0.53896,0.00225,0.00133868,0.00133868,0.00133868
169,16298.2,1.17027,0.38405,0.00125,0.94236,0.561,0.76026,0.56758,1.4429,0.53461,0.00219,0.00133472,0.00133472,0.00133472
170,16393.6,1.21676,0.39723,0.00129,0.946,0.56262,0.76237,0.56293,1.47151,0.54773,0.00223,0.00133076,0.00133076,0.00133076
171,16488,1.2302,0.4057,0.00131,0.92683,0.56781,0.75849,0.55059,1.51831,0.54812,0.0023,0.0013268,0.0013268,0.0013268
172,16584.5,1.2089,0.39508,0.00129,0.93495,0.56955,0.76182,0.56654,1.44479,0.52762,0.00219,0.00132284,0.00132284,0.00132284
173,16680,1.21173,0.39873,0.0013,0.93725,0.56077,0.7581,0.56577,1.44342,0.53908,0.0022,0.00131888,0.00131888,0.00131888
174,16775.7,1.21133,0.39746,0.00131,0.94799,0.54332,0.75244,0.56645,1.4432,0.5506,0.00221,0.00131492,0.00131492,0.00131492
175,16871.3,1.19799,0.39236,0.0013,0.93972,0.56007,0.75882,0.56325,1.46445,0.53327,0.00224,0.00131096,0.00131096,0.00131096
